0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:08:40 +0530] "GET /SDNWeb/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:08:40 +0530] "GET /SDNWeb/assets/css/images/bg01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:08:40 +0530] "GET /SDNWeb/assets/css/images/bg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:08:44 +0530] "GET /SDNWeb/index.html HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:08:44 +0530] "GET /SDNWeb/images/vzlogo_lg.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:08:53 +0530] "GET /SDNWeb/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:08:53 +0530] "GET /SDNWeb/images/vzlogo_lg.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:08:53 +0530] "GET /SDNWeb/images/vzlogo_lg.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:09:01 +0530] "GET /SDNWeb/images/vzlogo_lg.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:09:57 +0530] "GET /SDNWeb/images/vzlogo_lg.png HTTP/1.1" 200 8949
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:02 +0530] "GET /SDNWeb/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:02 +0530] "GET /SDNWeb/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:02 +0530] "GET /SDNWeb/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:02 +0530] "GET /SDNWeb/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:02 +0530] "GET /SDNWeb/images/vzlogo_lg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:02 +0530] "GET /SDNWeb/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:02 +0530] "GET /SDNWeb/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:02 +0530] "GET /SDNWeb/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:02 +0530] "GET /SDNWeb/assets/css/images/bg01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:02 +0530] "GET /SDNWeb/assets/css/images/bg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:13 +0530] "GET /SDNWeb/index.html HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:13 +0530] "GET /SDNWeb/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:13 +0530] "GET /SDNWeb/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:13 +0530] "GET /SDNWeb/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:13 +0530] "GET /SDNWeb/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:13 +0530] "GET /SDNWeb/images/vzlogo_lg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:13 +0530] "GET /SDNWeb/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:13 +0530] "GET /SDNWeb/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:14 +0530] "GET /SDNWeb/assets/css/images/bg01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:14 +0530] "GET /SDNWeb/assets/css/images/bg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:20 +0530] "GET /SDNWeb/index.html HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:20 +0530] "GET /SDNWeb/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:20 +0530] "GET /SDNWeb/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:20 +0530] "GET /SDNWeb/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:20 +0530] "GET /SDNWeb/images/vzlogo_lg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:20 +0530] "GET /SDNWeb/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:20 +0530] "GET /SDNWeb/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:20 +0530] "GET /SDNWeb/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:10:20 +0530] "GET /SDNWeb/assets/css/images/bg02.png HTTP/1.1" 304 -
